Feature ID,Confidence,Kingdom,Phylum,Class,Order,Family,Genus,Species
065c8c609c3e831d6a31269348656cb6,0.9999992909495876,Bacteria,,,,,,
1d95718a6a949a036958ca5cf922a7db,0.9999297058773297,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae, Faecalibacterium,
a65a2c91d438e4d9366d444889e537d6,0.9949878559042574,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae, Akkermansia,muciniphila
96b19954a0819e5e6878405d1f7a8083,0.9999999994509968,Bacteria,Firmicutes,Bacilli,Mycoplasmatales,Mycoplasmoidaceae, Ureaplasma,
2683ddf8cb31f2e343840cf08399b804,0.9796901331925564,Bacteria,Firmicutes,Bacilli,Mycoplasmatales,Metamycoplasmataceae, Metamycoplasma,hominis
b1d6b09de9e810f05d7b9af2e172567d,0.8327227876103336,Bacteria,Firmicutes,Clostridia,TANB77,CAG-508, CAG-273,
9251929bfb3d9a52db7acd48eb397d97,0.7204655263475812,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae, Prevotella,melaninogenica
b868208f0a122ff9572e5e9193779342,0.9999935197612974,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae, Prevotella,amnii
400c9b826019b9046a70dcab03bcfb42,0.9999628348489802,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae, Prevotella,bivia
f3763180d9ea8737ed2db0ea3a0389cb,0.8371900382342135,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae, Luteimonas,
80c8beb1ef9e8b84fb8d6b2130079c24,0.967625355705154,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae, Luteimonas,
4f334fadc48dbdd48bff2f1d637f210a,0.9792509627291678,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,,
ab90b9717d3c57012a6ea3774e4ffbab,0.8425130042755635,Bacteria,Bacteroidota,Bacteroidia,,,,
e0119b7025f2a2e14c4d84b45ec54fbc,0.8988668695703623,Bacteria,Firmicutes,Clostridia,Tissierellales,Peptoniphilaceae, Parvimonas,parva
d24227268fad320feb23b2dc8ff6c985,0.7570440640272501,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae, Prevotella,colorans
6801178a9fcddd61bfc4f0584aba53d7,0.9999997884879912,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae, Alloprevotella,sp900095835
dfa78eb395e93733495751002389a140,0.9571670017800324,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae, Alloprevotella,
83aa15a1c038277fc87c777c4ac0212f,0.7876742502902131,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae, Prevotella,melaninogenica
d653e94d1e76b64d88545609cf647509,0.9999904558999329,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae, Prevotella,amnii
8bbedb8652100e2e87635844cb1be4ad,0.999806913209515,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae, Prevotella,
cc627b1a4755392458eeee6657aa3823,0.9999099613086404,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae, Prevotella,amnii
3c724f18d7f7f531f3167ca92c9c0c0a,0.7492216313823248,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae, Prevotella,disiens
9194211347acc6f1608c61c0077a54a0,0.8871071950098797,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae, Prevotella,corporis
a2be22303b075687a1fc02c56cd96e18,0.9999522019172924,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae, Prevotella,disiens
bc553700e4434c4a4bb0e680377f5675,0.9999966554479524,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae, Prevotella,disiens
b90d7a9a910642a68b7df44fc691e0f4,0.9987070026441672,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae, Prevotella,disiens
2f2e2a351d330526158406c34545c3a4,0.9964636356006916,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae, Prevotella,disiens
a4ce89cd0a1fb420d7a8003badc3b7a3,0.9652388861435964,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae, Prevotella,
ecddfcb7494f2b0cd4c5d5f6545e2fd4,0.9999995412599874,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae, Prevotella,nanceiensis
682d0a108d877f544366a96f497a7728,0.9999417522862052,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae, Prevotella,nanceiensis
a40314b4e9c43602e3a111040e19b7d9,0.9999821977323476,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae, Prevotella,amnii
2623e6bb3f123adfce99e57c65ce3cad,0.9994420973767358,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae, Prevotella,buccalis
40cbd1b0161dd2d90dc22f22bc84c59d,0.998817445694438,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae, Prevotella,
4416ee56c8ea7c116cefadbf6fe7e124,0.99999938670199,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae, Prevotella,pectinovora
3198206a2cc0e80c4e6730188f307dd4,0.9999974977808008,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae, Prevotella,buccalis
f2bd1984da9c0e7496413227eaba50d3,0.9999995640071502,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae, Prevotella,buccalis
d00c47b450b9d8c68ae6beeb3b50438d,0.9999996831533128,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae, Prevotella,buccalis
