index,Taxonomy
NR_025423.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Pasteurellaceae;g__Haemophilus_D_735815;s__Haemophilus_D_735815 pittmaniae
NR_171541.1,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium_388775;s__Bifidobacterium leopoldii
NZ_ABES01000007.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Enterobacteriaceae_A;__;__
NZ_ADEF01000068.1,d__Bacteria;__;__;__;__;__;__
NZ_AFIJ01000031.1,d__Bacteria;__;__;__;__;__;__
NZ_AMZK01000007.1,d__Bacteria;__;__;__;__;__;__
NZ_CABTXI010000220.1,Unassigned;__;__;__;__;__;__
NZ_CAXUJS010000060.1,d__Bacteria;__;__;__;__;__;__
NZ_FNWT01000022.1,d__Bacteria;__;__;__;__;__;__
NZ_GG666064.1,d__Bacteria;__;__;__;__;__;__
NZ_GG666315.1,d__Bacteria;__;__;__;__;__;__
NZ_GL878522.1,d__Bacteria;__;__;__;__;__;__
NZ_JAERMS010000083.1,Unassigned;__;__;__;__;__;__
NZ_JAJCRT010000018.1,d__Bacteria;__;__;__;__;__;__
NZ_JAJDKT010000074.1,d__Bacteria;__;__;__;__;__;__
NZ_JANDZW010000012.1,d__Bacteria;__;__;__;__;__;__
NZ_JASOME010000020.1,d__Bacteria;__;__;__;__;__;__
NZ_JASOSB010000012.1,d__Bacteria;__;__;__;__;__;__
NZ_JASSPP010000023.1,d__Bacteria;__;__;__;__;__;__
NZ_JAVTXF010000046.1,d__Bacteria;__;__;__;__;__;__
NZ_JAWWWY010000070.1,d__Bacteria;__;__;__;__;__;__
NZ_JAWWXF010000042.1,d__Bacteria;__;__;__;__;__;__
NZ_JAWWYB010000046.1,Unassigned;__;__;__;__;__;__
NZ_JBBNGY010000024.1,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus_A;__
NZ_JBGONE010000038.1,d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales_993521;f__Fusobacteriaceae_993521;g__Fusobacterium_C;__
NZ_JBHLSP010000031.1,d__Bacteria;__;__;__;__;__;__
NZ_JBIWIT010000029.1,d__Bacteria;__;__;__;__;__;__
NZ_JRNR01000257.1,d__Bacteria;__;__;__;__;__;__
NZ_JRNT01000025.1,
NZ_JRNU01000149.1,d__Bacteria;__;__;__;__;__;__
NZ_KE952952.1,Unassigned;__;__;__;__;__;__
NZ_KI518418.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Enterobacteriaceae_A;g__Buchnera;__
NZ_KQ955743.1,Unassigned;__;__;__;__;__;__
NZ_KQ961074.1,d__Bacteria;__;__;__;__;__;__
NZ_KQ971204.1,d__Bacteria;__;__;__;__;__;__
NZ_KV803777.1,d__Bacteria;p__Firmicutes_A;c__Clostridia_258483;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus vaginalis
NZ_NFMF01000018.1,d__Bacteria;__;__;__;__;__;__
NZ_NQOJ01000020.1,d__Bacteria;__;__;__;__;__;__
NZ_QJVB01000008.1,d__Bacteria;__;__;__;__;__;__
NZ_QSQE01000022.1,Unassigned;__;__;__;__;__;__
NZ_VYVJ01000030.1,d__Bacteria;__;__;__;__;__;__
NZ_WBMB01000033.1,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales_A_737866;f__Pasteurellaceae;g__Haemophilus_D_735815;__
NZ_WUBT01000032.1,d__Bacteria;__;__;__;__;__;__
NZ_PNGO01000009.1,
NZ_QPGS01000077.1,
